Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
יבנה,2660,2017,1,1360000,1,1460000
יבנה,2660,2018,5,1386000,4,1651500
יבנה,2660,2019,,,2,1912500
יבנה,2660,2023,4,1838750,3,2236666.6666
יבנה,2660,2024,1,1900000,1,1750000
יבנה,2660,2025,,,2,1795000
ירושלים,3000,2017,38,1311578.9473,40,1613375
ירושלים,3000,2018,52,1365038.4615,44,1621159.0909
ירושלים,3000,2019,8,1535625,2,1862500
ירושלים,3000,2020,7,1354857.1428,3,1900333.3333
ירושלים,3000,2021,7,1613571.4285,4,1806250
ירושלים,3000,2022,6,2013333.3333,11,2244545.4545
ירושלים,3000,2023,22,1956954.5454,30,2378333.3333
ירושלים,3000,2024,10,1941300,22,2340681.8181
ירושלים,3000,2025,3,1933333.3333,12,2420833.3333
כפר סבא,6900,2017,1,1780000,2,1687500
כפר סבא,6900,2018,4,1370000,1,1430000
כפר סבא,6900,2019,1,1752495,2,1420000
כפר סבא,6900,2020,1,1590000,,
כפר סבא,6900,2022,1,1960000,,
כפר סבא,6900,2023,3,2449333.3333,8,2473750
כפר סבא,6900,2025,,,2,2302500
לוד,7000,2017,,,2,1060000
לוד,7000,2018,3,1026666.6666,5,1172000
לוד,7000,2019,10,1058000,7,1245714.2857
לוד,7000,2020,1,1100000,2,1320000
לוד,7000,2022,3,1161666.6666,8,1299875
לוד,7000,2023,1,1110000,,
מודיעין עילית,3797,2022,,,1,1820000
מודיעין עילית,3797,2023,1,1790000,4,2140000
מודיעין עילית,3797,2024,,,2,1990000
מודיעין עילית,3797,2025,2,1927500,2,2355000
נהריה,9100,2017,4,820000,7,1073142.8571
נהריה,9100,2018,15,755666.6666,7,1128428.5714
נהריה,9100,2019,2,800000,,
נהריה,9100,2021,,,1,1015000
נהריה,9100,2022,,,3,1417666.6666
נהריה,9100,2023,2,1210000,11,1421363.6363
נס ציונה,7200,2017,,,1,1700000
נס ציונה,7200,2020,3,1755000,,
נצרת,7300,2018,,,1,865000
נצרת,7300,2019,1,500000,1,660000
נצרת,7300,2020,2,535000,,
נצרת,7300,2024,1,780000,1,1240000
נתניה,7400,2017,25,1316000,16,1556000
נתניה,7400,2018,51,1367254.9019,20,1560250
נתניה,7400,2019,11,1276363.6363,1,1950000
נתניה,7400,2020,4,1330000,,
נתניה,7400,2021,1,1320000,1,1530000
נתניה,7400,2022,2,1877500,12,2183250
נתניה,7400,2023,10,1814000,35,2352885.7142
נתניה,7400,2024,5,1713000,10,2364500
נתניה,7400,2025,4,1842500,1,2660000
עכו,7600,2017,2,745000,,
עכו,7600,2018,,,2,954000
עכו,7600,2019,,,7,942000
עכו,7600,2020,6,591000,10,833000
עכו,7600,2021,1,620000,2,1013500
עכו,7600,2022,5,963000,5,1204000
עכו,7600,2023,,,1,1300000
עפולה,7700,2017,3,671666.6666,,
עפולה,7700,2018,1,710000,3,771666.6666
עפולה,7700,2019,,,1,920000
עפולה,7700,2022,,,1,900000
עפולה,7700,2023,,,1,1540000
עפולה,7700,2025,1,870000,,
פתח תקוה,7900,2017,19,1375578.9473,11,1632090.909
פתח תקוה,7900,2018,38,1383078.9473,23,1644652.1739
פתח תקוה,7900,2019,3,1393333.3333,5,1701000
פתח תקוה,7900,2020,2,1490000,,
פתח תקוה,7900,2021,2,1435000,6,1715000
פתח תקוה,7900,2022,2,1910000,18,2257716.6666
פתח תקוה,7900,2023,19,1986315.7894,14,2416285.7142
פתח תקוה,7900,2024,8,2101875,12,2285000
פתח תקוה,7900,2025,1,2090000,1,2950000
קרית אתא,6800,2017,3,875000,1,800000
קרית אתא,6800,2018,1,770000,5,881000
קרית אתא,6800,2019,,,1,1030000
קרית אתא,6800,2022,,,1,2498708
קרית אתא,6800,2023,,,1,1800000
קרית גת,2630,2018,28,815000,11,1107727.2727
קרית גת,2630,2019,2,827500,1,877000
קרית גת,2630,2023,2,1522000,5,1722000
קרית גת,2630,2024,2,1362500,1,1670000
קרית גת,2630,2025,1,1690000,,
ראש העין,2640,2017,1,1340000,3,1431666.6666
ראש העין,2640,2018,3,1380000,3,1473333.3333
ראש העין,2640,2019,1,1300000,4,1662500
ראש העין,2640,2022,,,1,2970000
ראש העין,2640,2023,,,7,2507857.1428
ראש העין,2640,2024,,,4,2418750
ראשון לציון,8300,2017,6,1455000,1,1580000
ראשון לציון,8300,2018,28,1422428.5714,9,1638333.3333
ראשון לציון,8300,2019,6,1505500,3,1681666.6666
ראשון לציון,8300,2020,,,1,1950000
ראשון לציון,8300,2021,,,1,1630000
ראשון לציון,8300,2022,1,1845000,5,2100000
ראשון לציון,8300,2023,13,2189230.7692,9,2397777.7777
ראשון לציון,8300,2024,3,1921666.6666,12,2475333.3333
ראשון לציון,8300,2025,5,2070000,,
רחובות,8400,2017,6,1226666.6666,2,1482000
רחובות,8400,2018,13,1262384.6153,11,1651818.1818
רחובות,8400,2019,1,1060000,,
רחובות,8400,2020,1,1430000,,
רחובות,8400,2022,4,2034750,7,2191428.5714
רחובות,8400,2023,8,1760000,10,2452300
רחובות,8400,2024,6,1894083.3333,8,2371250
רחובות,8400,2025,2,1780000,,
רמלה,8500,2017,1,940000,4,1312500
רמלה,8500,2018,7,971000,13,1293076.923
רמלה,8500,2019,15,1018933.3333,9,1363888.8888
רמלה,8500,2020,8,1016875,,
רמלה,8500,2022,1,1380000,4,1622500
רמלה,8500,2023,3,1636666.6666,4,2087500
רמלה,8500,2024,3,1446666.6666,6,2090333.3333
רמלה,8500,2025,2,1700000,1,2070000
רמת גן,8600,2017,3,1673333.3333,,
רמת גן,8600,2018,3,1677000,1,1680000
רמת גן,8600,2019,5,1668000,1,1950000
רמת גן,8600,2020,5,1766000,2,1890000
רמת גן,8600,2022,1,2290000,,
רמת גן,8600,2023,5,2298000,,
רמת גן,8600,2024,2,2382500,,
רעננה,8700,2017,,,1,1955000
רעננה,8700,2018,1,1890000,,
רעננה,8700,2020,1,1700000,,
רעננה,8700,2023,,,2,2570000
תל אביב -יפו,5000,2017,23,1556956.5217,6,1660833.3333
תל אביב -יפו,5000,2018,16,1577500,13,1712692.3076
תל אביב -יפו,5000,2019,11,1514636.3636,3,1765000
תל אביב -יפו,5000,2020,5,1507800,1,1870000
תל אביב -יפו,5000,2021,,,1,1570000
תל אביב -יפו,5000,2022,1,2645000,,
תל אביב -יפו,5000,2023,17,2179624,4,2397980.5
תל אביב -יפו,5000,2024,8,2158377.625,2,2572500
תל אביב -יפו,5000,2025,3,2230000,,
